:End-User Support

mozilla.support.firefox             Support for Firefox.
mozilla.support.thunderbird         Support for Thunderbird.
mozilla.support.mozilla-suite       Support for the Mozilla Suite.
mozilla.support.camino              Support for Camino, the lightweight native Mac OS X browser.
mozilla.support.seamonkey           Support for Seamonkey, the community-driven continuation of the Mozilla suite.
mozilla.support.bugzilla                Support for the Bugzilla web-based bug-tracking tool.
mozilla.support.calendar                Support for the Calendar and Lightning projects.
mozilla.support.webtools                Support for webtools other than Bugzilla (e.g. Bonsai, Tinderbox, LXR, Doctor, Hendrix)
mozilla.support.accessibility           Support for using Mozilla with the keyboard, screen readers, screen magnifiers and voice dictation products.   
mozilla.support.other                   Support for other products or projects without a specific group.
mozilla.support.planning                For discussions about improving Firefox Support.

:Feedback

mozilla.feedback.firefox                Output of Firefox feedback from <a href="http://feedback.mozilla.org/">Hendrix</a>.
mozilla.feedback.firefox.prerelease     Output of Firefox pre-release feedback from <a href="http://feedback.mozilla.org/">Hendrix</a>.
mozilla.feedback.thunderbird            Output of Thunderbird feedback from <a href="http://feedback.mozilla.org/">Hendrix</a>.
mozilla.feedback.thunderbird.prerelease Output of Thunderbird pre-release feedback from <a href="http://feedback.mozilla.org/">Hendrix</a>.
mozilla.feedback.companion.ebay         Output of <a href="http://www.mozilla.com/add-ons/ebay/feedback/">Ebay Companion feedback</a>.
mozilla.feedback                        Output of general feedback from <a href="http://feedback.mozilla.org/">Hendrix</a>.

:Projectwide Forums

mozilla.announce                        New releases will be announced here. This is a low-volume, moderated group, for announcements only (not discussions).
mozilla.announce.prerelease             Announcements of Mozilla product pre-releases.
mozilla.evangelism                      The Mozilla Tech-Evangelism project - persuading websites to use web standards.
mozilla.events                          For discussions about Mozilla events.
mozilla.general                         For everything with no forum of its own: discussion about any and all aspects of all the things that we're doing here at mozilla.org.
mozilla.governance                      Governance of the Mozilla Project.
mozilla.jobs                            For use by those interested in hiring folks to work on Mozilla-related projects as well as by those seeking such work.
mozilla.legal                           For discussions about the <a href="../MPL/">licensing terms</a> of the Mozilla source code and other legal issues.
mozilla.marketing                       Our plans for world domination.
mozilla.wishlist                        For discussions of future ideas, ranging from the practical to the far out. Read the <a href="../wishlist-faq.html">wishlist FAQ</a> to see if your wish has already been discussed.

:General Development

mozilla.community.enterprise            For discussions about <a href="http://wiki.mozilla.org/Enterprise">Enterprise</a> issues.
mozilla.community.mozpad                For discussions of the <a href="http://mozpad.org/">Mozilla Platform Application Developers</a> Community.
mozilla.dev.accessibility               For the <a href="../projects/ui/accessibility/">accessibility</a> development effort.         
mozilla.dev.builds                      For discussions about compiling the source code or improving the build system.
mozilla.dev.documentation               For discussions about <a href="../docs/mdp/">documentation</a>: how it should be written, distributed, maintained, and so on. This is not the place to ask where help files are.
mozilla.dev.embedding                   For <a href="../projects/embedding/">embedding</a> Mozilla components such as Gecko, ender, and JavaScript into software.
mozilla.dev.extensions                  For extension developers.
mozilla.dev.i18n                        For discussions about <a href="../projects/intl/">internationalization</a> (I18N) issues. I18N is the infrastructure that allows software to be <a href="#dev-l10n">localized</a>.
mozilla.dev.l10n                        For <a href="../projects/l10n/mlp.html">localization</a> (L10N) issues. L10N is the process of adapting software to a specific language and culture (see also <a href="#mozilla-i18n">internationalization</a>).
mozilla.dev.mdc                         <a href="http://developer.mozilla.org/">Mozilla Developer Center</a> discussion
mozilla.dev.mdc.feedback                Developer Center feedback; includes output from <a href="http://feedback.developer.mozilla.org/">MDC Hendrix</a>.
mozilla.dev.mdc.es                      For discussion about Spanish content on <a href="http://developer.mozilla.org/es/">Mozilla Developer Center</a>.
mozilla.dev.mdc.ja                      For discussion about Japanese content on <a href="http://developer.mozilla.org/ja/">Mozilla Developer Center</a>.
mozilla.dev.mdc.pt                      For discussion about Portuguese content on <a href="http://developer.mozilla.org/pt/">Mozilla Developer Center</a>.
mozilla.dev.mozilla-org                 For people working on the mozilla.org website.
mozilla.dev.planning                    For project planning, meeting minutes, roadmap discussions.
mozilla.dev.platform                    For people working on Mozilla-the-platform.
mozilla.dev.quality                     For <a href="../quality/">QA</a> discussion, including using Bugzilla, Mozilla testing, and bug triaging. Do not report bugs here.
mozilla.dev.security                    <a href="../projects/security/">Security</a> issues such as specific security problems or ideas for making the code as a whole more secure can be discussed here. <a href="#dev-tech-crypto">Cryptography</a>, however, is not within this group's charter.
mozilla.dev.static-analysis             For discussion about Pork, Dehydra, rewriting and static analysis projects.
mozilla.dev.super-review                This forum is a mirror of the <a href="../hacking/reviewers.html">super-review</a> mailing list. Requests for patch review and change of review status in Bugzilla are automatically posted here.
mozilla.dev.themes                      For theme developers.
mozilla.dev.usability                   For discussions on <a href="../projects/ui/">user interface</a> and usability issues, including future directions, cross-platform consistency, and so on.
mozilla.web-developers.general          For discussions about making web sites render correctly in Mozilla browsers.

:Mozilla Technologies

mozilla.dev.tech.crypto                 For discussions about cryptography, and cryptographic issues surrounding the Mozilla source code. See the <a href="../projects/security/pki/">PKI</a> project for more info.
mozilla.dev.tech.crypto.checkins        Join this list if you'd like to be automatically notified of all check-ins to Mozilla's crypto code.
mozilla.dev.tech.dom                    For discussions about the <a href="http://www.w3.org/DOM/">Document Object Model</a> (DOM) in Mozilla. For scripting discussions, see the <a href="../js/scripting/">scripting resources</a> page.
mozilla.dev.tech.editor                 For discussions about HTML and text editing controls, including the <a href="../editor/">Composer</a> component, <a href="../editor/midas-spec.html">rich text editing</a> and text widgets.
mozilla.dev.tech.gfx                    For people working on Mozilla's graphics subsystem, including the port to Cairo.
mozilla.dev.tech.java                   For discussions about Java: both embedding <acronym title="Java Runtime Environment">JRE</acronym>s in Mozilla and extending Mozilla itself using Java code. Also check out the <a href="#dev-tech-plugins">plug-in forum</a>.
mozilla.dev.tech.js-engine              For <a href="../js/">JavaScript engines</a>, including <a href="../js/spidermonkey/">Spidermonkey</a> (JavaScript in C) and <a href="../rhino/">Rhino</a> (JavaScript in Java). For scripting support, see the <a href="../js/scripting/">scripting resources</a>.
mozilla.dev.tech.js-engine.rhino        For discussions about <a href="../rhino/">Rhino</a>. Implementation of JavaScript written entirely in Java.
mozilla.dev.tech.layout                 For discussions about document layout in Mozilla, including <a href="../newlayout/">Gecko</a>. Also check out the <a href="#dev-tech-style">style</a> and <a href="#dev-tech-svg">SVG</a> forums.
mozilla.dev.tech.ldap                   For discussions about the C SDK, Java SDK, and PerLDAP, which are toolkits for developing <a href="../directory/">LDAP</a> applications.
mozilla.dev.tech.mathml                 For discussions about the <a href="../projects/mathml/">implementation</a> of W3C's <a href="http://www.w3.org/Math/">Mathematical Markup Language</a>.
mozilla.dev.tech.network                For discussions about the Mozilla Networking Library, a.k.a. <a href="../projects/netlib/">netlib</a>.
mozilla.dev.tech.nspr                   For discussions about the <a href="../projects/nspr/">portable runtime</a> code used by Mozilla.
