intro.in,Introduction.
high-level.in,What is embedding?
why.in,Why embed Mozilla?
who-on-going.in,Who's involved?
examples.in,Embedding examples
goals.in,Goals
XPCOM-Utils.in,XPCOM & Utils
DOM-Embedding.in,Embedding & DOM APIs
c-functions.in,Intialisation and Shutdown
d-nsIWB.in,Browser Interfaces
d-nsIBaseWindow.in,Window & Listener Interfaces
s-nsWebBrowser.in,Creating a web browser
s-InitWindow.in,Opening a window
s-nsIWebProgress.in,Registering for progress callbacks
s-chromeimpl.in,Client chrome object checklist
ds-nsIWebNavigation.in,Navigating the browser
OSC.in,Receiving state change callbacks
OPC.in,Receiving progress callbacks
ds-nsIPromptService.in,A prompt impl snippet
conclusion.in,Conclusion

