	glibc																							lea-pre6															lea-pre7																													
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	m	s**2		1	2	3	4	5	6	7	8	9	10	m	s**2		D		1	2	3	4	5	6	7	8	9	10	m	s**2		D																
home.netscape.com	2031	1967	1991	1958	1933	2051	1972	1962	1948	1941	1981	1883	1899	1923	1903	2031	1902	1931	1889	1911	1950	49	3%	2186	2074	1933	2013	1993	2121	2061	1979	2034	2008	2040	74	4%	90	4.6%	2482	1997	2033	2056	1994	2081	2029	2062	2051	2040	2083	143	7%	132	6.8%															
my.netscape.com	1430	1412	1471	1455	1391	1443	1454	1447	1435	1455	1398	1410	1430	1417	1395	1410	1423	1415	1420	1386	1425	24	2%	1531	1501	1491	1500	1482	1543	1517	1504	1519	1538	1513	20	1%	88	6.2%	1548	1551	1513	1535	1523	1489	1544	1523	1453	1550	1523	31	2%	98	6.9%															
www.aol.com	1722	1708	1734	1740	1699	1740	1708	1696	1689	1680	1650	1646	1685	1664	1676	1637	1636	1669	1650	1677	1685	33	2%	1797	1717	1722	1757	1766	1758	1752	1826	1807	1820	1772	39	2%	87	5.2%	1756	1856	1834	1856	1803	2300	1750	1842	1798	1771	1857	161	9%	171	10.2%															
www.mapquest.com	778	791	816	790	780	834	787	748	757	774	727	738	741	715	727	719	723	734	710	761	758	35	5%	806	774	793	797	788	805	816	850	786	805	802	21	3%	45	5.9%	776	883	850	830	803	838	799	860	877	860	838	35	4%	80	10.6%															
www.moviefone.com	1152	1155	1160	1137	1165	1148	1133	1166	1147	1129	1097	1110	1098	1095	1083	1099	1088	1089	1085	1103	1122	30	3%	1233	1154	1193	1238	1158	1245	1229	1235	1204	1228	1212	33	3%	90	8.0%	1217	1258	1208	1207	1214	1205	1163	1224	1223	1213	1213	23	2%	91	8.1%															
www.digitalcity.com	1438	1458	1489	1461	1505	1473	1491	1481	1456	1451	1408	1434	1436	1427	1427	1414	1419	1427	1431	1422	1447	28	2%	1565	1528	1561	1504	1513	1561	1544	1558	1564	1571	1547	24	2%	100	6.9%	1529	1563	1597	1569	1544	1565	1516	1596	1588	1588	1566	28	2%	118	8.2%															
www.iplanet.com	900	902	883	912	908	901	881	888	880	860	852	841	848	842	881	829	856	846	853	865	871	25	3%	1132	1085	1072	1045	1081	1073	1077	1086	1111	1066	1083	24	2%	211	24.3%	1067	1123	1095	1072	1064	1051	1065	1114	1109	1078	1084	25	2%	212	24.4%															
web.icq.com	2702	2738	2708	2720	2759	2693	2715	2705	2747	2685	2617	2692	2678	2616	2661	2611	2608	2626	2618	2645	2677	49	2%	2799	2732	2743	2756	2742	2882	2718	2835	2813	2843	2786	56	2%	109	4.1%	2895	2780	2805	2789	2847	2817	2850	2828	2815	2835	2826	33	1%	149	5.6%															
www.compuserve.com	1656	1669	1736	1735	1703	1674	1727	1674	1706	1629	1641	1625	1655	1633	1669	1656	1641	1623	1623	1663	1667	37	2%	1692	1690	1686	1733	1694	1687	1759	1720	1750	1729	1714	28	2%	47	2.8%	1745	1751	1798	1753	1706	1665	1750	1754	1742	1756	1742	35	2%	75	4.5%															
www.msnbc.com	1043	1038	1048	1093	1096	1030	1076	1068	1012	1011	1015	999	1012	1021	1025	1008	1022	1013	1040	1030	1035	28	3%	1085	1110	1085	1088	1123	1078	1146	1130	1143	1096	1108	26	2%	73	7.1%	1154	1170	1137	1128	1171	NaN	1180	1169	1196	1132	1160	23	2%	125	12.0%															
www.yahoo.com	838	840	867	880	873	853	874	863	846	835	829	1283	844	843	890	830	854	831	844	861	874	98	11%	874	861	868	848	881	862	897	870	862	912	874	19	2%	0	0.0%	896	905	896	888	917	NaN	916	878	941	869	901	22	2%	27	3.1%															
bugzilla.mozilla.org	1344	1511	1355	1364	1353	1318	1384	1328	1331	1318	1292	1352	1319	1339	1338	1295	1304	1303	1328	1341	1341	46	3%	1394	1337	1324	1344	1376	1371	1404	1357	1352	1382	1364	26	2%	23	1.7%	1368	1402	1386	1368	1422	1361	1416	1387	1387	1367	1386	21	2%	46	3.4%															
www.msn.com	1741	1755	1789	1757	1734	1708	1743	1704	1756	1685	1669	1701	1693	1740	1725	1703	1721	1698	1717	1717	1723	29	2%	1766	1756	1735	1815	1758	1853	1843	1816	1850	1820	1801	44	2%	78	4.6%	1795	1804	1845	1819	1843	1790	1815	1844	1838	1874	1827	27	1%	104	6.0%															
slashdot.org	1374	1358	1463	1395	1400	1389	1397	1476	1444	1416	1372	1412	1393	1399	1285	1411	1393	1403	1414	1404	1400	39	3%	1556	1382	1537	1446	1501	1560	1498	1568	1552	1427	1503	65	4%	103	7.3%	1369	1530	1534	1633	1559	1505	NaN	1550	1550	1572	1534	71	5%	134	9.5%															
www.nytimes.com	2304	2401	2324	2347	2326	2263	2296	2315	2297	2237	2236	2240	2263	2237	2303	2255	2270	2240	2305	2245	2285	44	2%	2346	2297	2380	2398	2375	2487	2376	2383	2485	2425	2395	58	2%	110	4.8%	2411	2461	2400	2438	2390	2329	2434	2420	2475	2477	2424	45	2%	138	6.1%															
www.nytimes.com_Table	3298	3322	3351	3364	3355	3338	3337	3340	3360	3318	3218	3319	3270	3270	3260	3251	3224	3269	3296	3250	3301	46	1%	3377	3317	3348	3311	3255	3378	3401	3376	3417	3360	3354	48	1%	54	1.6%	3297	3337	3444	3358	3429	3373	3415	3411	3404	3417	3389	46	1%	88	2.7%															
www.w3.org_DOML2Core	5414	5498	5548	5474	5533	5484	5409	5418	5475	5509	5416	5393	5470	5369	5469	5400	5349	5377	5446	5377	5441	57	1%	5428	5335	5380	5337	5353	5451	5470	5407	5479	5554	5419	71	1%	-22	-0.4%	5386	5473	5505	5496	5458	5700	5462	5550	5525	5559	5511	83	2%	70	1.3%															
lxr.mozilla.org	2671	2705	2755	2720	2777	2721	2703	2708	2782	2734	2673	2705	2681	2705	2720	2700	2662	2691	2688	2681	2709	33	1%	2778	2636	2683	2699	2689	2720	2699	2698	2716	2730	2705	36	1%	-4	-0.2%	2675	2713	2800	2714	2745	2702	2745	2759	2704	2755	2731	36	1%	22	0.8%															
espn.go.com	426	459	487	447	469	477	432	438	463	435	417	458	426	429	422	416	430	426	445	409	441	22	5%	434	424	454	433	434	464	432	432	464	443	441	14	3%	1	0.2%	435	444	465	426	445	426	498	457	426	473	450	24	5%	9	2.0%															
www.voodooextreme.com	4729	6097	4778	4847	4817	4768	4808	4749	4689	4738	4578	4598	4619	4658	4549	4649	4629	4620	4617	4618	4758	327	7%	4698	4739	4709	4698	4769	4828	4928	4918	4837	4888	4801	91	2%	43	0.9%	4798	4648	4918	4848	4788	4824	4978	4957	4758	4908	4843	101	2%	85	1.8%															
www.wired.com	1600	1669	1667	1657	1652	1622	1625	1628	1621	1632	1579	1591	1574	1563	1547	1559	1565	1548	1548	1566	1601	42	3%	1702	1690	1681	1722	1673	1746	1735	1703	1710	1745	1711	26	2%	110	6.9%	1714	1698	1733	1668	1728	1713	1758	1743	1739	1757	1725	28	2%	124	7.8%															
hotwired.lycos.com	845	869	854	852	869	848	828	856	809	856	804	789	848	801	801	795	829	824	811	796	829	27	3%	923	861	861	846	924	911	909	937	894	904	897	31	3%	68	8.2%	881	854	894	864	908	918	918	915	911	932	900	26	3%	70	8.5%															
www.ebay.com	1464	1531	1497	1526	1537	1560	1522	1522	1513	1505	1450	1428	1467	1439	1463	1448	1471	1488	1466	1464	1488	37	2%	1645	1592	1631	1554	1634	1653	1603	1596	1621	1636	1617	30	2%	128	8.6%	1609	1603	1651	1585	1614	1593	1631	1625	1659	1634	1620	24	1%	132	8.9%															
www.apple.com	802	849	818	823	807	808	832	815	805	796	785	784	787	763	775	770	779	792	768	817	799	23	3%	923	887	863	883	878	936	904	944	908	906	903	26	3%	104	13.1%	902	899	857	920	874	891	959	924	967	915	911	34	4%	112	14.0%															
www.amazon.com	2241	2290	2299	2285	2278	2256	2287	2138	2252	2298	2190	2245	2208	2214	2255	2186	2204	2222	2214	2226	2239	43	2%	2268	2313	2300	2289	2253	2375	2464	2358	2288	2401	2331	67	3%	92	4.1%	2233	2297	2249	2400	2335	2277	2378	2322	2256	2351	2310	57	2%	70	3.1%															
www.altavista.com	883	908	928	928	947	915	909	929	922	925	871	893	876	902	883	874	888	906	901	887	904	22	2%	967	931	954	939	936	954	983	978	973	979	959	19	2%	56	6.2%	973	944	974	961	991	997	970	989	970	921	969	23	2%	65	7.2%															
www.zdnet.com_Gamespot.com	714	790	799	798	827	762	772	773	762	733	718	718	709	754	718	721	729	722	748	735	750	34	5%	751	739	757	770	787	787	770	751	750	785	765	18	2%	15	1.9%	772	804	814	766	785	833	823	816	799	810	802	22	3%	52	6.9%															
