New	Neu
OK	OK
Cancel	Abbrechen
Help	Hilfe
Open	Öffnen
Save As	Speichern unter
All Files (*.*)	Alle Dateien (*.*)
Untitled	Unbekannt
an unnamed file	eine unbenannte Datei
Hide	Verbergen
No error message is available.	Keine Fehlermeldung verfügbar
An unsupported operation was attempted.	Es wurde eine nicht unterstützte Operation versucht.
A required resource was unavailable.	Eine erforderliche Ressource war nicht verfügbar.
Out of memory.	Speicher leer
An unknown error has occurred.	Ein unbekannter Fehler is aufgetreten.
Invalid filename.	Ungültiger Dateiname
Failed to open document.	Konnte Dokument nicht öffnen.
Failed to save document.	Konnte Dokument nicht speichern.
Save changes to %1?	Änderungen an %1 speichern?
Failed to create empty document.	Konnte leeres Dokument nicht erstellen.
The file is too large to open.	Die Datei ist zu groß, um sie zu öffnen.
Could not start print job.	Konnte Druckauftrag nicht starten.
Failed to launch help.	Konnte Hilfe nicht aufrufen.
Internal application error.	Interner Anwendungsfehler
Command failed.	Befehl gescheitert
Insufficient memory to perform operation.	Nicht genügend Speicher, um Operation auszuführen
System registry entries have been removed and the INI file (if any) was deleted.	Einträge in Systemregistry wurden entfernt, und die INI-Datei (falls vorhanden) wurde gelöscht.
Not all of the system registry entries (or INI file) were removed.	Nicht alle  Einträge in der Systemregistry (bzw. die INI-Datei) wurden entfernt.
This program requires the file %s, which was not found on this system.	Dieses Programm erfordert die Datei %s, die auf dem System nicht auffindbar war.
This program is linked to the missing export %s in the file %s. This machine may have an incompatible version of %s.	Dieses Programm ist mit dem fehlenden Export %s in der Datei %s verknüpft. Möglicherweise liegt auf dem Gerät eine inkompatible Version von %s vor.
Please enter an integer.	Bitte geben Sie eine Ganzzahl ein.
Please enter a number.	Bitte geben Sie eine Zahl ein.
Please enter an integer between %1 and %2.	Bitte geben Sie eine Ganzzahl zwischen %1 und %2 ein.
Please enter a number between %1 and %2.	Bitte geben Sie eine Zahl zwischen %1 und %2 ein.
Please enter no more than %1 characters.	Bitte geben Sie nicht mehr als %1 Zeichen ein.
Please select a button.	Bitte wählen Sie eine Schaltfläche.
Please enter an integer between 0 and 255.	Bitte geben Sie eine Ganzzahl zwischen 0 und 255 ein .
Please enter a positive integer.	Bitte geben Sie eine positive Ganzzahl ein.
Please enter a date and/or time.	Bitte geben Sie ein Datum und/oder eine Uhrzeit ein.
Please enter a currency.	Bitte geben Sie eine Währung ein.
Unexpected file format.	Unerwartetes Dateiformat
%1\nCannot find this file.\nPlease verify that the correct path and file name are given.	%1\nKann diese Datei nicht findenn.\nVergewissern Sie sich, daß der Pfad und Dateiname korrekt eingegeben wurden.
Destination disk drive is full.	Ziellaufwerk ist voll.
Unable to read from %1, it is opened by someone else.	Kann nicht aus %1  lesen. Datei wurde von einer anderen Person geöffnet.
Unable to write to %1, it is read-only or opened by someone else.	Kann nicht in %1 schreiben. Datei ist entweder schreibgeschützt oder von einer anderen Person geöffnet.
An unexpected error occurred while reading %1.	Beim Lesen von %1 trat ein unerwarteter Fehler auf.
An unexpected error occurred while writing %1.	Beim Schreiben in %1 trat ein unerwarteter Fehler auf.
Unable to read write-only property.	Kann Nur-Schreiben-Eigenschaft nicht lesen.
Unable to write read-only property.	Kann Nur-Lesen-Eigenschaft nicht schreiben.
Unable to load mail system support.	Kann Mail-System-Unterstützung nicht laden.
Mail system DLL is invalid.	DLL des Mail-Systems ist ungültig.
Send Mail failed to send message.	Die Mitteilung wurde mit Telegramm abschicken nicht verschickt.
No error occurred.	Kein Fehler aufgetreten
An unknown error occurred while accessing %1.	Beim Zugriff auf %1 trat ein unbekannter Fehler auf.
%1 was not found.	%1 wurde nicht gefunden.
%1 contains an invalid path.	%1 enthält einen ungültigen Pfad.
%1 could not be opened because there are too many open files.	%1 wurde nicht geöffnet, weil bereits zu viele Dateien geöffnet sind.
Access to %1 was denied.	Zugriff auf %1 wurde abgelehnt.
An invalid file handle was associated with %1.	Ein ungültiger File Handle wurde mit %1 verknüpft.
%1 could not be removed because it is the current directory.	%1 konnte nicht entfernt werden, weil es das aktuelle Verzeichnis ist.
%1 could not be created because the directory is full.	%1 konnte nicht erstellt werden, weil das Verzeichnis voll ist.
Seek failed on %1	Suche bei %1 gescheitert
A hardware I/O error was reported while accessing %1.	Beim Zugriff auf %1 wurde ein Hardwarefehler gemeldet.
A sharing violation occurred while accessing %1.	Beim Zugriff auf %1 trat ein Sharing-Konflikt auf.
A locking violation occurred while accessing %1.	Beim Zugriff auf %1 trat ein Sperrkonflikt auf.
Disk full while accessing %1.	Platte voll beim Zugriff auf %1
An attempt was made to access %1 past its end.	Es wurde versucht, auf %1 nach dem Dateiabschluß zuzugreifen.
An attempt was made to write to the reading %1.	Es wurde versucht, in %1 zu schreiben, aus der gerade gelesen wird.
An attempt was made to access %1 past its end.	Es wurde versucht, auf %1 nach dem Dateiabschluß zuzugreifen..
An attempt was made to read from the writing %1.	Es wurde versucht, aus %1 zu lesen, die gerade geschrieben wird.
%1 has a bad format.	%1 besitzt ein fehlerhaftes Format.
%1 contained an unexpected object.	%1 enthielt ein unerwartetes Objekt.
%1 contains an incorrect schema.	%1 enthält ein falsches Schema.
pixels	Pixel
INETsocket DLL	INETsocket DLL
1, 0, 0, 1	1, 0, 0, 1
INETsocket	INETsocket
Copyright (C) 1998	Copyright (C) 1998
INETsocket.DLL	INETsocket.DLL
INETsocket Dynamic Link Library	INETsocket Dynamic Link Library
The Help file, %s, could not be found. What's This? Help (Help within dialogs) will not be available without this Help file. Would you like to search for this file now?	Die Hilfedatei %s wurde nicht gefunden. Was ist das?-Hilfe (Hilfe innerhalb von Dialogfeldern) ist ohne diese Hilfedatei nicht verfügbar. Möchten Sie nach dieser Datei jetzt suchen?
Sharing Violation Error	Sharing-Konflikt
Low Memory!\r\nNot enough free memory for this operation.	Geringe Speicherkapazität!\r\nNicht genügend Speicher für diese Operation.
Button	Schaltfläche
Edit Control	Bearbeitungssteuerung
Static	Statisch
List Box	Listenfeld
Horizontal Scroll Bar	Horizontale Bildlaufleiste
Vertical Scroll Bar	Vertikale Bildlaufleiste
Combo Box	Kombinationsfeld
Group Box	Gruppenfeld
Check Box	Kontrollkästchen
