New	Nouveau
OK	OK
Cancel	Annuler
Open	Ouvrir
Save As	Enregistrer sous
All Files (*.*)	Tous les fichiers (*.*)
Untitled	Sans titre
an unnamed file	un fichier sans nom
Hide	Masquer
No error message is available.	Aucun message d'erreur n'est disponible.
An unsupported operation was attempted.	L'opération effectuée n'est pas prise en charge.
A required resource was unavailable.	L'une des ressources requises n'était pas disponible.
Out of memory.	Mémoire saturée.
An unknown error has occurred.	Une erreur inconnue s'est produite.
Invalid filename.	Nom de fichier incorrect.
Failed to open document.	Impossible d'ouvrir le document.
Failed to save document.	Impossible d'enregistrer le document.
Save changes to %1?	Enregistrer les modifications dans  %1 ?
Failed to create empty document.	Impossible de créer un document vide.
The file is too large to open.	Impossible d'ouvrir le fichier en raison de sa taille.
Could not start print job.	Impossible d'exécuter l'impression.
Failed to launch help.	Impossible de lancer l'aide.
Internal application error.	Erreur interne de l'application.
Command failed.	La commande a échoué.
Insufficient memory to perform operation.	Mémoire insuffisante pour effectuer l'opération.
System registry entries have been removed and the INI file (if any) was deleted.	Certaines entrées du Registre ont été effacées et le fichier INI (s'il y en avait un) a été supprimé.
Not all of the system registry entries (or INI file) were removed.	Certaines entrées du Registre ou peut-être le fichier INI n'ont pas été supprimés.
This program requires the file %s, which was not found on this system.	Le fichier %s requis par l'application est introuvable.
This program is linked to the missing export %s in the file %s. This machine may have an incompatible version of %s.	This program is linked to the missing export %s in the file %s. This machine may have an incompatible version of %s.
Please enter an integer.	Please enter an integer.
Please enter a number.	Please enter a number.
Please enter an integer between %1 and %2.	Please enter an integer between %1 and %2.
Please enter a number between %1 and %2.	Please enter a number between %1 and %2.
Please enter no more than %1 characters.	Please enter no more than %1 characters.
Please select a button.	Please select a button.
Please enter an integer between 0 and 255.	Please enter an integer between 0 and 255.
Please enter a positive integer.	Please enter a positive integer.
Please enter a date and/or time.	Please enter a date and/or time.
Please enter a currency.	Please enter a currency.
Unexpected file format.	Unexpected file format.
%1\nCannot find this file.\nPlease verify that the correct path and file name are given.	%1\nCannot find this file.\nPlease verify that the correct path and file name are given.
Destination disk drive is full.	Destination disk drive is full.
Unable to read from %1, it is opened by someone else.	Unable to read from %1, it is opened by someone else.
Unable to write to %1, it is read-only or opened by someone else.	Unable to write to %1, it is read-only or opened by someone else.
An unexpected error occurred while reading %1.	An unexpected error occurred while reading %1.
An unexpected error occurred while writing %1.	An unexpected error occurred while writing %1.
Unable to read write-only property.	Unable to read write-only property.
Unable to write read-only property.	Unable to write read-only property.
Unable to load mail system support.	Unable to load mail system support.
Mail system DLL is invalid.	Mail system DLL is invalid.
Send Mail failed to send message.	Send Mail failed to send message.
No error occurred.	No error occurred.
An unknown error occurred while accessing %1.	An unknown error occurred while accessing %1.
%1 was not found.	%1 was not found.
%1 contains an invalid path.	%1 contains an invalid path.
%1 could not be opened because there are too many open files.	%1 could not be opened because there are too many open files.
Access to %1 was denied.	Access to %1 was denied.
An invalid file handle was associated with %1.	An invalid file handle was associated with %1.
%1 could not be removed because it is the current directory.	%1 could not be removed because it is the current directory.
%1 could not be created because the directory is full.	%1 could not be created because the directory is full.
Seek failed on %1	Seek failed on %1
A hardware I/O error was reported while accessing %1.	A hardware I/O error was reported while accessing %1.
A sharing violation occurred while accessing %1.	A sharing violation occurred while accessing %1.
A locking violation occurred while accessing %1.	A locking violation occurred while accessing %1.
Disk full while accessing %1.	Disk full while accessing %1.
An attempt was made to access %1 past its end.	An attempt was made to access %1 past its end.
An attempt was made to write to the reading %1.	An attempt was made to write to the reading %1.
An attempt was made to read from the writing %1.	An attempt was made to read from the writing %1.
%1 has a bad format.	%1 has a bad format.
%1 contained an unexpected object.	%1 contained an unexpected object.
%1 contains an incorrect schema.	%1 contains an incorrect schema.
pixels	pixels
INETsocket DLL	INETsocket DLL
1, 0, 0, 1	1, 0, 0, 1
INETsocket	INETsocket
Copyright (C) 1998	Copyright (C) 1998
INETsocket.DLL	INETsocket.DLL
INETsocket Dynamic Link Library	INETsocket Dynamic Link Library
